Tarih;sterlin
1.01.2018;5.08
2.01.2018;5.08
3.01.2018;5.09
4.01.2018;5.1
5.01.2018;5.08
6.01.2018;5.08
7.01.2018;5.08
8.01.2018;5.06
9.01.2018;5.06
10.01.2018;5.08
11.01.2018;5.11
12.01.2018;5.1
13.01.2018;5.1
14.01.2018;5.1
15.01.2018;5.1
16.01.2018;5.17
17.01.2018;5.24
18.01.2018;5.25
19.01.2018;5.25
20.01.2018;5.25
21.01.2018;5.25
22.01.2018;5.25
23.01.2018;5.28
24.01.2018;5.28
25.01.2018;5.28
26.01.2018;5.33
27.01.2018;5.33
28.01.2018;5.33
29.01.2018;5.31
30.01.2018;5.31
31.01.2018;5.3
1.02.2018;5.31
2.02.2018;5.33
3.02.2018;5.33
4.02.2018;5.33
5.02.2018;5.32
6.02.2018;5.3
7.02.2018;5.27
8.02.2018;5.24
9.02.2018;5.27
10.02.2018;5.27
11.02.2018;5.27
12.02.2018;5.3
13.02.2018;5.26
14.02.2018;5.26
15.02.2018;5.26
16.02.2018;5.29
17.02.2018;5.29
18.02.2018;5.29
19.02.2018;5.28
20.02.2018;5.25
21.02.2018;5.26
22.02.2018;5.28
23.02.2018;5.27
24.02.2018;5.27
25.02.2018;5.27
26.02.2018;5.27
27.02.2018;5.29
28.02.2018;5.27
1.03.2018;5.27
2.03.2018;5.23
3.03.2018;5.23
4.03.2018;5.23
5.03.2018;5.23
6.03.2018;5.26
7.03.2018;5.25
8.03.2018;5.26
9.03.2018;5.28
10.03.2018;5.28
11.03.2018;5.28
12.03.2018;5.26
13.03.2018;5.28
14.03.2018;5.35
15.03.2018;5.38
16.03.2018;5.42
17.03.2018;5.42
18.03.2018;5.42
19.03.2018;5.44
20.03.2018;5.49
21.03.2018;5.52
22.03.2018;5.5
23.03.2018;5.52
24.03.2018;5.52
25.03.2018;5.52
26.03.2018;5.58
27.03.2018;5.63
28.03.2018;5.62
29.03.2018;5.64
30.03.2018;5.61
31.03.2018;5.61
1.04.2018;5.61
2.04.2018;5.54
3.04.2018;5.56
4.04.2018;5.58
5.04.2018;5.62
6.04.2018;5.65
7.04.2018;5.65
8.04.2018;5.65
9.04.2018;5.67
10.04.2018;5.71
11.04.2018;5.76
12.04.2018;5.87
13.04.2018;5.84
14.04.2018;5.84
15.04.2018;5.84
16.04.2018;5.81
17.04.2018;5.84
18.04.2018;5.87
19.04.2018;5.82
20.04.2018;5.71
21.04.2018;5.71
22.04.2018;5.71
23.04.2018;5.71
24.04.2018;5.66
25.04.2018;5.69
26.04.2018;5.68
27.04.2018;5.66
28.04.2018;5.66
29.04.2018;5.66
30.04.2018;5.59
1.05.2018;5.59
2.05.2018;5.54
3.05.2018;5.61
4.05.2018;5.69
5.05.2018;5.69
6.05.2018;5.69
7.05.2018;5.76
8.05.2018;5.75
9.05.2018;5.78
10.05.2018;5.8
11.05.2018;5.78
12.05.2018;5.78
13.05.2018;5.78
14.05.2018;5.76
15.05.2018;5.86
16.05.2018;5.94
17.05.2018;6
18.05.2018;5.99
19.05.2018;5.99
20.05.2018;5.99
21.05.2018;6.02
22.05.2018;6.1
23.05.2018;6.15
24.05.2018;6.46
25.05.2018;6.29
26.05.2018;6.29
27.05.2018;6.29
28.05.2018;6.29
29.05.2018;6.11
30.05.2018;6.08
31.05.2018;5.94
1.06.2018;5.96
2.06.2018;5.96
3.06.2018;5.96
4.06.2018;6.1
5.06.2018;6.18
6.06.2018;6.14
7.06.2018;6.17
8.06.2018;6.11
9.06.2018;6.11
10.06.2018;6.11
11.06.2018;6.03
12.06.2018;6.03
13.06.2018;6.08
14.06.2018;6.19
15.06.2018;6.19
16.06.2018;6.19
17.06.2018;6.19
18.06.2018;6.19
19.06.2018;6.23
20.06.2018;6.26
21.06.2018;6.24
22.06.2018;6.23
23.06.2018;6.23
24.06.2018;6.23
25.06.2018;6.25
26.06.2018;6.14
27.06.2018;6.18
28.06.2018;6.11
29.06.2018;6.02
30.06.2018;6.02
1.07.2018;6.02
2.07.2018;5.98
3.07.2018;6.07
4.07.2018;6.13
5.07.2018;6.2
6.07.2018;6.14
7.07.2018;6.14
8.07.2018;6.14
9.07.2018;6.08
10.07.2018;6.03
11.07.2018;6.22
12.07.2018;6.28
13.07.2018;6.35
14.07.2018;6.35
15.07.2018;6.35
16.07.2018;6.35
17.07.2018;6.4
18.07.2018;6.39
19.07.2018;6.24
20.07.2018;6.26
21.07.2018;6.26
22.07.2018;6.26
23.07.2018;6.24
24.07.2018;6.23
25.07.2018;6.25
26.07.2018;6.38
27.07.2018;6.34
28.07.2018;6.34
29.07.2018;6.34
30.07.2018;6.35
31.07.2018;6.4
1.08.2018;6.43
2.08.2018;6.45
3.08.2018;6.59
4.08.2018;6.59
5.08.2018;6.59
6.08.2018;6.59
7.08.2018;6.66
8.08.2018;6.81
9.08.2018;6.8
10.08.2018;6.94
11.08.2018;6.94
12.08.2018;6.94
13.08.2018;7.57
14.08.2018;8.76
15.08.2018;8.35
16.08.2018;7.79
17.08.2018;7.36
18.08.2018;7.36
19.08.2018;7.36
20.08.2018;7.61
21.08.2018;7.61
22.08.2018;7.61
23.08.2018;7.61
24.08.2018;7.61
25.08.2018;7.61
26.08.2018;7.61
27.08.2018;7.61
28.08.2018;7.94
29.08.2018;8.01
30.08.2018;8.01
31.08.2018;8.23
1.09.2018;8.23
2.09.2018;8.23
3.09.2018;8.51
4.09.2018;8.52
5.09.2018;8.56
6.09.2018;8.55
7.09.2018;8.5
8.09.2018;8.5
9.09.2018;8.5
10.09.2018;8.37
11.09.2018;8.33
12.09.2018;8.4
13.09.2018;8.31
14.09.2018;8.28
15.09.2018;8.28
16.09.2018;8.28
17.09.2018;7.94
18.09.2018;8.19
19.09.2018;8.35
20.09.2018;8.29
21.09.2018;8.27
22.09.2018;8.27
23.09.2018;8.27
24.09.2018;8.26
25.09.2018;8.16
26.09.2018;8.04
27.09.2018;8.05
28.09.2018;7.96
29.09.2018;7.96
30.09.2018;7.96
1.10.2018;7.81
2.10.2018;7.77
3.10.2018;7.78
4.10.2018;7.82
5.10.2018;7.93
6.10.2018;7.93
7.10.2018;7.93
8.10.2018;8.01
9.10.2018;8.02
10.10.2018;7.97
11.10.2018;8
12.10.2018;7.89
13.10.2018;7.89
14.10.2018;7.89
15.10.2018;7.8
16.10.2018;7.63
17.10.2018;7.62
18.10.2018;7.46
19.10.2018;7.27
20.10.2018;7.27
21.10.2018;7.27
22.10.2018;7.3
23.10.2018;7.36
24.10.2018;7.49
25.10.2018;7.38
26.10.2018;7.32
27.10.2018;7.32
28.10.2018;7.32
29.10.2018;7.32
30.10.2018;7.18
31.10.2018;7.04
1.11.2018;6.99
2.11.2018;7.17
3.11.2018;7.17
4.11.2018;7.17
5.11.2018;7.1
6.11.2018;7.07
7.11.2018;6.96
8.11.2018;7.03
9.11.2018;7.09
10.11.2018;7.09
11.11.2018;7.09
12.11.2018;7.12
13.11.2018;7.03
14.11.2018;7.05
15.11.2018;7.07
16.11.2018;6.97
17.11.2018;6.97
18.11.2018;6.97
19.11.2018;6.83
20.11.2018;6.83
21.11.2018;6.83
22.11.2018;6.83
23.11.2018;6.79
24.11.2018;6.79
25.11.2018;6.79
26.11.2018;6.77
27.11.2018;6.72
28.11.2018;6.67
29.11.2018;6.69
30.11.2018;6.6
1.12.2018;6.6
2.12.2018;6.6
3.12.2018;6.58
4.12.2018;6.62
5.12.2018;6.73
6.12.2018;6.83
7.12.2018;6.81
8.12.2018;6.81
9.12.2018;6.81
10.12.2018;6.78
11.12.2018;6.7
12.12.2018;6.73
13.12.2018;6.71
14.12.2018;6.77
15.12.2018;6.77
16.12.2018;6.77
17.12.2018;6.75
18.12.2018;6.77
19.12.2018;6.76
20.12.2018;6.74
21.12.2018;6.66
22.12.2018;6.66
23.12.2018;6.66
24.12.2018;6.67
25.12.2018;6.69
26.12.2018;6.72
27.12.2018;6.7
28.12.2018;6.68
29.12.2018;6.68
30.12.2018;6.68
31.12.2018;6.65
1.01.2019;6.65
2.01.2019;6.71
3.01.2019;6.76
4.01.2019;6.85
5.01.2019;6.85
6.01.2019;6.85
7.01.2019;6.84
8.01.2019;6.82
9.01.2019;6.92
10.01.2019;6.99
11.01.2019;6.96
12.01.2019;6.96
13.01.2019;6.96
14.01.2019;6.92
15.01.2019;7.07
16.01.2019;6.99
17.01.2019;6.94
18.01.2019;6.88
19.01.2019;6.88
20.01.2019;6.88
21.01.2019;6.91
22.01.2019;6.85
23.01.2019;6.88
24.01.2019;6.89
25.01.2019;6.87
26.01.2019;6.87
27.01.2019;6.87
28.01.2019;6.88
29.01.2019;6.93
30.01.2019;7.01
31.01.2019;6.9
1.02.2019;6.83
2.02.2019;6.83
3.02.2019;6.83
4.02.2019;6.78
5.02.2019;6.81
6.02.2019;6.76
7.02.2019;6.74
8.02.2019;6.75
9.02.2019;6.75
10.02.2019;6.75
11.02.2019;6.78
12.02.2019;6.78
13.02.2019;6.76
14.02.2019;6.76
15.02.2019;6.78
16.02.2019;6.78
17.02.2019;6.78
18.02.2019;6.73
19.02.2019;6.83
20.02.2019;6.84
21.02.2019;6.89
22.02.2019;6.93
23.02.2019;6.93
24.02.2019;6.93
25.02.2019;6.91
26.02.2019;6.93
27.02.2019;6.96
28.02.2019;7.01
1.03.2019;7.06
2.03.2019;7.06
3.03.2019;7.06
4.03.2019;7.07
5.03.2019;7.1
6.03.2019;7.06
7.03.2019;7.06
8.03.2019;7.14
9.03.2019;7.14
10.03.2019;7.14
11.03.2019;7.13
12.03.2019;7.05
13.03.2019;7.15
14.03.2019;7.15
15.03.2019;7.23
16.03.2019;7.23
17.03.2019;7.23
18.03.2019;7.22
19.03.2019;7.22
20.03.2019;7.24
21.03.2019;7.23
22.03.2019;7.15
23.03.2019;7.15
24.03.2019;7.15
25.03.2019;7.25
26.03.2019;7.43
27.03.2019;7.25
28.03.2019;7.03
29.03.2019;7.28
30.03.2019;7.28
31.03.2019;7.28
1.04.2019;7.34
2.04.2019;7.32
3.04.2019;7.24
4.04.2019;7.38
5.04.2019;7.4
6.04.2019;7.4
7.04.2019;7.4
8.04.2019;7.3
9.04.2019;7.39
10.04.2019;7.39
11.04.2019;7.41
12.04.2019;7.46
13.04.2019;7.46
14.04.2019;7.46
15.04.2019;7.55
16.04.2019;7.57
17.04.2019;7.56
18.04.2019;7.48
19.04.2019;7.55
20.04.2019;7.55
21.04.2019;7.55
22.04.2019;7.52
23.04.2019;7.52
24.04.2019;7.56
25.04.2019;7.57
26.04.2019;7.58
27.04.2019;7.58
28.04.2019;7.58
29.04.2019;7.63
30.04.2019;7.65
1.05.2019;7.65
2.05.2019;7.72
3.05.2019;7.76
4.05.2019;7.76
5.05.2019;7.76
6.05.2019;7.74
7.05.2019;7.84
8.05.2019;8.04
9.05.2019;8.02
10.05.2019;8.05
11.05.2019;8.05
12.05.2019;8.05
13.05.2019;7.94
14.05.2019;7.9
15.05.2019;7.81
16.05.2019;7.8
17.05.2019;7.68
18.05.2019;7.68
19.05.2019;7.68
20.05.2019;7.71
21.05.2019;7.68
22.05.2019;7.66
23.05.2019;7.68
24.05.2019;7.72
25.05.2019;7.72
26.05.2019;7.72
27.05.2019;7.68
28.05.2019;7.67
29.05.2019;7.64
30.05.2019;7.59
31.05.2019;7.47
1.06.2019;7.47
2.06.2019;7.47
3.06.2019;7.37
4.06.2019;7.37
5.06.2019;7.37
6.06.2019;7.37
7.06.2019;7.37
8.06.2019;7.37
9.06.2019;7.37
10.06.2019;7.41
11.06.2019;7.36
12.06.2019;7.33
13.06.2019;7.38
14.06.2019;7.37
15.06.2019;7.37
16.06.2019;7.37
17.06.2019;7.43
18.06.2019;7.38
19.06.2019;7.31
20.06.2019;7.34
21.06.2019;7.27
22.06.2019;7.27
23.06.2019;7.27
24.06.2019;7.33
25.06.2019;7.31
26.06.2019;7.37
27.06.2019;7.29
28.06.2019;7.31
29.06.2019;7.31
30.06.2019;7.31
1.07.2019;7.29
2.07.2019;7.17
3.07.2019;7.14
4.07.2019;7.07
5.07.2019;7.02
6.07.2019;7.02
7.07.2019;7.02
8.07.2019;7.02
9.07.2019;7.16
10.07.2019;7.11
11.07.2019;7.14
12.07.2019;7.09
13.07.2019;7.09
14.07.2019;7.09
15.07.2019;7.09
16.07.2019;7.12
17.07.2019;7.09
18.07.2019;7.05
19.07.2019;7.08
20.07.2019;7.08
21.07.2019;7.08
22.07.2019;7.04
23.07.2019;7.06
24.07.2019;7.06
25.07.2019;7.12
26.07.2019;7.1
27.07.2019;7.1
28.07.2019;7.1
29.07.2019;7.02
30.07.2019;6.93
31.07.2019;6.77
1.08.2019;6.71
2.08.2019;6.75
3.08.2019;6.75
4.08.2019;6.75
5.08.2019;6.75
6.08.2019;6.73
7.08.2019;6.73
8.08.2019;6.65
9.08.2019;6.64
10.08.2019;6.64
11.08.2019;6.64
12.08.2019;6.64
13.08.2019;6.64
14.08.2019;6.64
15.08.2019;6.63
16.08.2019;6.73
17.08.2019;6.73
18.08.2019;6.73
19.08.2019;6.72
20.08.2019;6.75
21.08.2019;6.89
22.08.2019;6.92
23.08.2019;6.96
24.08.2019;6.96
25.08.2019;6.96
26.08.2019;7.01
27.08.2019;7.1
28.08.2019;7.13
29.08.2019;7.08
30.08.2019;7.08
31.08.2019;7.08
1.09.2019;7.08
2.09.2019;7.08
3.09.2019;7.01
4.09.2019;6.92
5.09.2019;6.88
6.09.2019;6.96
7.09.2019;6.96
8.09.2019;6.96
9.09.2019;6.99
10.09.2019;7.04
11.09.2019;7.09
12.09.2019;7.12
13.09.2019;7.05
14.09.2019;7.05
15.09.2019;7.05
16.09.2019;7.03
17.09.2019;7.1
18.09.2019;7.09
19.09.2019;7.07
20.09.2019;7.09
21.09.2019;7.09
22.09.2019;7.09
23.09.2019;7.12
24.09.2019;7.1
25.09.2019;7.05
26.09.2019;7.06
27.09.2019;6.98
28.09.2019;6.98
29.09.2019;6.98
30.09.2019;6.95
1.10.2019;6.93
2.10.2019;6.96
3.10.2019;7.01
4.10.2019;6.98
5.10.2019;6.98
6.10.2019;6.98
7.10.2019;7.01
8.10.2019;7.05
9.10.2019;7.11
10.10.2019;7.11
11.10.2019;7.17
12.10.2019;7.17
13.10.2019;7.17
14.10.2019;7.3
15.10.2019;7.41
16.10.2019;7.43
17.10.2019;7.49
18.10.2019;7.54
19.10.2019;7.54
20.10.2019;7.54
21.10.2019;7.42
22.10.2019;7.53
23.10.2019;7.53
24.10.2019;7.41
25.10.2019;7.39
26.10.2019;7.39
27.10.2019;7.39
28.10.2019;7.38
29.10.2019;7.38
30.10.2019;7.38
31.10.2019;7.38
1.11.2019;7.38
2.11.2019;7.38
3.11.2019;7.38
4.11.2019;7.4
5.11.2019;7.33
6.11.2019;7.37
7.11.2019;7.39
8.11.2019;7.36
9.11.2019;7.36
10.11.2019;7.36
11.11.2019;7.34
12.11.2019;7.38
13.11.2019;7.39
14.11.2019;7.38
15.11.2019;7.38
16.11.2019;7.38
17.11.2019;7.38
18.11.2019;7.39
19.11.2019;7.41
20.11.2019;7.39
21.11.2019;7.34
22.11.2019;7.35
23.11.2019;7.35
24.11.2019;7.35
25.11.2019;7.33
26.11.2019;7.35
27.11.2019;7.38
28.11.2019;7.39
29.11.2019;7.44
30.11.2019;7.44
1.12.2019;7.44
2.12.2019;7.39
3.12.2019;7.4
4.12.2019;7.43
5.12.2019;7.46
6.12.2019;7.54
7.12.2019;7.54
8.12.2019;7.54
9.12.2019;7.54
10.12.2019;7.61
11.12.2019;7.62
12.12.2019;7.6
13.12.2019;7.63
14.12.2019;7.63
15.12.2019;7.63
16.12.2019;7.73
17.12.2019;7.79
18.12.2019;7.73
19.12.2019;7.72
20.12.2019;7.75
21.12.2019;7.75
22.12.2019;7.75
23.12.2019;7.69
24.12.2019;7.7
25.12.2019;7.67
26.12.2019;7.68
27.12.2019;7.69
28.12.2019;7.69
29.12.2019;7.69
30.12.2019;7.74
31.12.2019;7.78
1.01.2020;7.78
2.01.2020;7.8
3.01.2020;7.85
4.01.2020;7.85
5.01.2020;7.85
6.01.2020;7.79
7.01.2020;7.81
8.01.2020;7.83
9.01.2020;7.81
10.01.2020;7.67
11.01.2020;7.67
12.01.2020;7.67
13.01.2020;7.66
14.01.2020;7.59
15.01.2020;7.62
16.01.2020;7.64
17.01.2020;7.65
18.01.2020;7.65
19.01.2020;7.65
20.01.2020;7.64
21.01.2020;7.65
22.01.2020;7.7
23.01.2020;7.73
24.01.2020;7.76
25.01.2020;7.76
26.01.2020;7.76
27.01.2020;7.76
28.01.2020;7.75
29.01.2020;7.71
30.01.2020;7.72
31.01.2020;7.76
1.02.2020;7.76
2.02.2020;7.76
3.02.2020;7.82
4.02.2020;7.82
5.02.2020;7.75
6.02.2020;7.78
7.02.2020;7.74
8.02.2020;7.74
9.02.2020;7.74
10.02.2020;7.72
11.02.2020;7.72
12.02.2020;7.77
13.02.2020;7.8
14.02.2020;7.83
15.02.2020;7.83
16.02.2020;7.83
17.02.2020;7.87
18.02.2020;7.85
19.02.2020;7.86
20.02.2020;7.86
21.02.2020;7.83
22.02.2020;7.83
23.02.2020;7.83
24.02.2020;7.87
25.02.2020;7.92
26.02.2020;7.92
27.02.2020;7.95
28.02.2020;7.94
29.02.2020;7.94
1.03.2020;7.94
2.03.2020;8.01
3.03.2020;7.94
4.03.2020;7.91
5.03.2020;7.78
6.03.2020;7.83
7.03.2020;7.83
8.03.2020;7.83
9.03.2020;7.88
10.03.2020;8.01
11.03.2020;7.97
12.03.2020;7.94
13.03.2020;7.94
14.03.2020;7.94
15.03.2020;7.94
16.03.2020;7.87
17.03.2020;7.82
18.03.2020;7.84
19.03.2020;7.74
20.03.2020;7.5
21.03.2020;7.5
22.03.2020;7.5
23.03.2020;7.63
24.03.2020;7.64
25.03.2020;7.59
26.03.2020;7.6
27.03.2020;7.68
28.03.2020;7.68
29.03.2020;7.68
30.03.2020;7.85
31.03.2020;8.06
1.04.2020;8.09
2.04.2020;8.2
3.04.2020;8.27
4.04.2020;8.27
5.04.2020;8.27
6.04.2020;8.22
7.04.2020;8.29
8.04.2020;8.29
